Month,Opening balance,Deposits & withdrawals,Change in balance,Closing balance,Questrade % of total portfolio,Questrade portfolio-weighted return,IBKR % of total portfolio,IBKR portfolio-weighted return,Total return,SPY return,"P/L, cumulative"
Aug-2019,30795.13,0.00,151.87,30947.00,100.00%,0.50,,,0.50,-1.67,151.87
Sep-2019,30947.00,0.00,200.45,31147.45,100.00%,0.60,,,0.60,1.95,352.32
Oct-2019,31562.74,0.00,305.74,31868.48,100.00%,0.90,,,0.90,2.21,658.06
Nov-2019,31868.48,760.00,1541.90,34170.38,100.00%,4.80,,,4.80,3.62,2199.96
Dec-2019,34170.38,0.00,-633.02,33537.36,100.00%,-1.90,,,-1.90,2.90,1566.94
Jan-2020,33537.36,3952.00,-1666.98,35822.39,100.00%,-4.50,,,-4.50,-0.04,-100.03
Feb-2020,35351.04,0.00,-6848.49,28502.55,100.00%,-19.20,,,-19.20,-7.92,-6948.52
Mar-2020,27362.45,0.00,-5162.40,22200.05,100.00%,-19.10,,,-19.10,-12.58,-12110.92
Apr-2020,21891.71,0.00,4624.16,26515.87,100.00%,21.00,,,21.00,12.70,-7486.76
May-2020,26889.34,0.00,2503.28,29392.62,100.00%,9.20,,,9.20,4.76,-4983.48
Jun-2020,30209.08,4070.00,227.11,34506.19,100.00%,0.90,,,0.90,1.78,-4756.38
Jul-2020,34506.19,7620.76,1745.17,43872.12,100.00%,3.60,,,3.60,5.89,-3011.20
Aug-2020,45057.85,0.00,3590.73,48648.59,100.00%,8.60,,,8.60,6.98,579.53
Sep-2020,48648.60,0.00,2171.03,50819.63,100.00%,4.60,,,4.60,-3.74,2750.56
Oct-2020,50819.63,0.00,-2288.47,48531.15,100.00%,-5.00,,,-5.00,-2.49,462.09
Nov-2020,49169.70,-10016.16,6433.15,45586.69,100.00%,15.10,,,15.10,10.88,6895.24
Dec-2020,46178.75,10136.52,1867.91,58183.19,48.11%,2.45,51.89%,0.52,2.97,3.71,8763.15
Jan-2021,58390.22,-136.67,4136.08,62389.64,26.77%,3.93,73.23%,2.14,6.07,-1.02,12899.23
Feb-2021,62389.64,-4134.88,-3641.32,54613.44,23.70%,0.59,76.30%,-6.71,-6.12,2.78,9257.92
Mar-2021,54777.30,4107.96,6437.16,65484.83,20.71%,0.70,79.29%,10.93,11.64,4.54,15695.08
Apr-2021,65484.83,10044.09,2577.29,78106.21,17.86%,0.00,82.14%,3.34,3.34,5.29,18272.37
